Date,Open,High,Low,Close,Adj Close,Volume,Google Trends
2/23/2010,62.220001,62.48,61.700001,61.779999,47.005047,5159400,38
2/24/2010,61.98,62.16,61.580002,62.080002,47.233307,6888100,28
2/25/2010,61.509998,62.34,61.02,62.299999,47.400688,8074100,30
2/26/2010,62.5,62.59,61.91,62.470001,47.530033,14785800,38
3/1/2010,62.650002,63.580002,62.470001,63.43,48.260452,9016500,29
3/2/2010,63.610001,64,63.419998,63.799999,48.541954,9527200,30
3/3/2010,63.82,64.269997,63.799999,63.98,49.024696,8486300,37
3/4/2010,64.43,64.5,63.959999,64.110001,49.12431,7830600,35
3/5/2010,64.300003,64.480003,63.91,64.370003,49.323532,8448600,43
3/8/2010,64.269997,64.459999,63.799999,64.150002,49.154968,5086300,33
3/9/2010,63.880001,64.650002,63.799999,64.360001,49.31588,7655400,36
3/10/2010,64.300003,64.589996,64.010002,64.43,49.369514,6450000,32
3/11/2010,64.199997,65,63.900002,64.970001,49.783283,7536900,39
3/12/2010,64.919998,65.25,64.68,65.099998,49.8829,6896400,31
3/15/2010,65.690002,66.260002,65.400002,66.150002,50.68745,10468000,33
3/16/2010,66.25,66.300003,65.830002,66.07,50.626167,7474500,35
3/17/2010,66.150002,66.580002,66.019997,66.57,51.0093,6922300,38
3/18/2010,66.57,66.730003,66.160004,66.519997,50.970959,6961900,77
3/19/2010,66.559998,66.980003,66.260002,66.559998,51.00161,10947400,43
3/22/2010,66.43,66.559998,66.150002,66.309998,50.810047,6763000,48
3/23/2010,66.389999,67,66.239998,66.860001,51.231487,6412800,62
3/24/2010,66.620003,67,66.25,66.260002,50.771744,7661200,70
3/25/2010,66.370003,67,66.349998,66.550003,50.993954,6246600,71
3/26/2010,66.639999,66.809998,66.339996,66.589996,51.024609,5313400,25
3/29/2010,66.610001,66.870003,66.300003,66.550003,50.993954,6825600,54
3/30/2010,66.519997,67,66.360001,66.769997,51.162537,5733800,52
3/31/2010,66.68,66.709999,66.059998,66.160004,50.695129,8123900,39
4/1/2010,66.32,66.68,66.25,66.68,51.093575,5074100,54
4/5/2010,66.68,66.68,65.830002,65.980003,50.55719,6732600,46
4/6/2010,65.790001,66.629997,65.790001,66.389999,50.871368,6734700,83
4/7/2010,66.389999,66.519997,65.75,65.989998,50.564861,8204200,50
4/8/2010,65.75,66.190002,65.620003,65.970001,50.54953,6646300,32
4/9/2010,65.93,66.43,65.860001,66.360001,50.848385,4757700,41
4/12/2010,66.349998,66.669998,66.260002,66.32,50.817726,5074000,34
4/13/2010,66.160004,66.5,66.019997,66.389999,50.871368,5190800,23
4/14/2010,66.199997,66.300003,65.830002,66.290001,50.794746,5202300,34
4/15/2010,65.970001,66.5,65.800003,66.269997,50.779415,5968500,32
4/16/2010,66.010002,66.650002,65.959999,66.139999,50.67979,7374400,43
4/19/2010,66.080002,66.389999,65.699997,66.120003,50.664463,6354600,33
4/20/2010,66.169998,66.400002,65.720001,65.900002,50.495907,6780900,31
4/21/2010,65.82,66.309998,65.610001,65.980003,50.55719,6534300,75
4/22/2010,65.75,65.790001,64.5,64.760002,49.622368,9689700,35
4/23/2010,64.849998,64.849998,64.169998,64.709999,49.584061,9008900,34
4/26/2010,64.839996,65.440002,64.610001,65.019997,49.821598,8096900,58
4/27/2010,64.93,65.199997,64.07,64.230003,49.216263,8615300,41
4/28/2010,64.279999,64.82,63.599998,64.75,49.614708,10229300,0
4/29/2010,64.949997,65.5,64.830002,65.199997,49.959526,7714000,30
4/30/2010,65.330002,65.980003,65.18,65.220001,49.974857,8274200,23
5/3/2010,65.279999,66,64.889999,65.690002,50.334984,5807900,45
5/4/2010,65.300003,65.980003,65.050003,65.43,50.135757,8383100,30
5/5/2010,65.099998,65.949997,65.019997,65.199997,49.959526,7658800,47
5/6/2010,65.160004,66.199997,61.91,64.699997,49.576397,14046200,32
5/7/2010,64.459999,65.040001,63.66,64.57,49.47678,13221500,31
5/10/2010,65.800003,66.489998,65.660004,66.410004,50.8867,10833800,44
5/11/2010,66.160004,67,66.019997,66.550003,50.993954,7240800,45
5/12/2010,67.239998,67.610001,66.809998,66.940002,51.292789,13170400,30
5/13/2010,67.019997,67.080002,66.459999,66.480003,50.940334,7800500,58
5/14/2010,66.410004,66.599998,65.769997,66.07,50.626167,9731800,35
5/17/2010,66.110001,66.959999,66.07,66.75,51.147205,6943800,48
5/18/2010,66.919998,67.300003,66.400002,66.529999,50.978634,7237500,31
5/19/2010,66.300003,66.379997,65.5,66.040001,50.603172,7867800,30
5/20/2010,65.230003,65.230003,63.860001,63.860001,48.932747,11587400,37
5/21/2010,63.209999,63.639999,62.139999,63.580002,48.718208,14586400,33
5/24/2010,63.09,64.010002,62.599998,63.32,48.518978,6334000,46
5/25/2010,61.93,62.919998,61.650002,62.889999,48.189491,9156900,100
5/26/2010,63.060001,63.060001,61.040001,61.23,46.917507,15152900,26
5/27/2010,61.970001,62.93,61.52,62.900002,48.197151,9428400,0
5/28/2010,62.919998,63.459999,62.73,62.889999,48.189491,7546700,44
6/1/2010,62.66,63.59,61.900002,62.759998,48.08987,7180000,34
6/2/2010,62.599998,63.459999,61.830002,63.459999,49.001019,10023900,33
6/3/2010,63.5,63.650002,63,63.369999,48.931534,6448400,38
6/4/2010,62.459999,62.459999,61.290001,61.439999,47.441257,10309800,69
6/7/2010,61.369999,62.560001,61.290001,61.73,47.665184,7694100,49
6/8/2010,61.439999,62.799999,61.400002,62.650002,48.375576,7538300,31
6/9/2010,62.860001,63.07,62.330002,62.490002,48.252033,7056300,30
6/10/2010,63.029999,63.900002,63.029999,63.84,49.29443,6567800,70
6/11/2010,63.5,63.560001,62.939999,63.560001,49.078224,5466100,57
6/14/2010,63.900002,64.230003,63.240002,63.849998,49.302162,4941800,53
6/15/2010,63.880001,64.290001,63.84,64.239998,49.603302,6249100,70
6/16/2010,63.790001,64.050003,63.560001,63.91,49.348484,5960000,36
6/17/2010,63.959999,64.559998,63.75,64.489998,49.796341,5179300,47
6/18/2010,64.610001,64.669998,64.029999,64.080002,49.479755,8947600,43
6/21/2010,64.540001,64.790001,63.740002,64.019997,49.433422,5158800,49
6/22/2010,64.029999,64.25,63.18,63.299999,48.877468,5978900,47
6/23/2010,63.220001,63.220001,62.310001,62.73,48.437347,6509700,50
6/24/2010,62.369999,62.990002,62.25,62.400002,48.182522,6185400,37
6/25/2010,62.490002,62.490002,60.77,60.77,46.923916,22934200,56
6/28/2010,61.119999,62.169998,61,61.959999,47.842789,8532400,41
6/29/2010,61.459999,61.77,60.889999,61.23,47.279102,9054500,61
6/30/2010,61.279999,61.73,60.5,60.950001,47.062912,8760700,53
7/1/2010,61.130001,61.66,60.32,61.52,47.503036,10852500,100
7/2/2010,61.540001,62.150002,61.380001,61.529999,47.510757,5987800,43
7/6/2010,61.740002,61.889999,60.950001,61.639999,47.595695,6950100,41
7/7/2010,61.599998,63.080002,61.27,62.93,48.591778,7296200,48
7/8/2010,63.209999,64,62.91,64,49.41798,6660800,35
7/9/2010,64.029999,64.110001,63.299999,63.5,49.031906,5020500,32
7/12/2010,63.25,63.75,63.049999,63.740002,49.217213,4205300,28
7/13/2010,64.25,64.260002,63.349998,63.43,48.977852,7312300,35
7/14/2010,63.23,63.700001,63.060001,63.560001,49.078224,5687500,30
7/15/2010,63.580002,63.709999,62.990002,63.16,48.769371,8124100,30
7/16/2010,63.049999,63.529999,62.240002,62.450001,48.221146,9510200,32
7/19/2010,62.389999,62.52,62,62.049999,47.912277,5969400,36
7/20/2010,61.77,64.870003,61.709999,64.730003,49.981663,11243100,35
7/21/2010,64.779999,64.980003,63.669998,63.950001,49.379375,8690200,52
7/22/2010,64.459999,64.860001,64,64.209999,49.580139,7032800,30
7/23/2010,64.050003,64.75,64.050003,64.449997,49.765453,5187700,42
7/26/2010,64.360001,65.029999,64.190002,64.980003,50.174698,4029100,25
7/27/2010,65.300003,65.790001,64.709999,65.690002,50.722923,6032200,22
7/28/2010,65.510002,65.690002,65,65.199997,50.34457,4321400,38
7/29/2010,65.330002,65.589996,64.709999,64.889999,50.105202,5579600,28
7/30/2010,64.449997,65.18,64.309998,64.910004,50.12064,5337400,30
8/2/2010,65.470001,65.470001,64.879997,65.269997,50.398613,6479700,38
8/3/2010,65.110001,65.919998,65,65.769997,50.784691,5577200,29
8/4/2010,65.720001,66.349998,65.370003,66.169998,51.093552,6663800,30
8/5/2010,65.68,65.870003,65.059998,65.580002,50.638004,5143100,37
8/6/2010,65.129997,65.970001,65.129997,65.900002,50.885082,5500700,35
8/9/2010,66,66.599998,65.93,66.419998,51.286591,5492700,43
8/10/2010,66.050003,66.830002,66,66.529999,51.371529,7411000,33
8/11/2010,65.980003,66.07,65.449997,65.449997,50.537609,5544600,36
8/12/2010,64.910004,65.349998,64.779999,65.18,50.329128,4924700,32
8/13/2010,65.07,65.709999,64.860001,65.559998,50.622547,4516700,39
8/16/2010,65.300003,65.5,64.800003,65.43,50.522163,3564500,31
8/17/2010,65.68,66,65.220001,65.550003,50.61483,4357200,33
8/18/2010,65.660004,65.839996,65.25,65.519997,50.591663,3857900,35
8/19/2010,65.5,65.519997,64.260002,64.660004,49.927616,4549600,32
8/20/2010,64.300003,65.279999,64.300003,64.800003,50.035713,5655000,41
8/23/2010,65.139999,65.400002,64.779999,64.82,50.051155,3263900,34
8/24/2010,64.5,65.239998,64.209999,64.779999,50.02026,5442800,23
8/25/2010,64.370003,64.849998,64.199997,64.57,49.858101,5322700,34
8/26/2010,64.82,64.82,63.849998,64.129997,49.518368,4604900,32
8/27/2010,64.199997,64.470001,63.380001,64.120003,49.510632,5227700,43
8/30/2010,64.089996,64.43,63.599998,63.599998,49.109112,3697900,33
8/31/2010,63.490002,64.339996,63.18,64.18,49.556961,6624800,31
9/1/2010,64.519997,65.050003,64.519997,64.889999,50.482761,6382100,75
9/2/2010,64.970001,65.309998,64.519997,64.970001,50.544991,4158600,35
9/3/2010,65.110001,65.709999,65.110001,65.57,51.011776,5862600,34
9/7/2010,65.099998,66.010002,65.099998,65.480003,50.941765,5284700,58
9/8/2010,65.440002,65.699997,65.260002,65.43,50.902863,4318900,41
9/9/2010,65.900002,66.209999,65.419998,66.099998,51.804157,5835800,0
9/10/2010,66.150002,66.5,65.860001,66.410004,52.047112,4234800,30
9/13/2010,66.449997,66.519997,65.849998,66.25,51.921703,4469200,23
9/14/2010,66.169998,66.360001,65.93,65.980003,51.710091,4145400,45
9/15/2010,65.830002,66.540001,65.760002,66.5,52.117638,4745000,30
9/16/2010,66.400002,66.660004,66.169998,66.610001,52.20385,4174900,47
9/17/2010,66.760002,66.900002,66.099998,66.120003,51.819809,7908400,32
9/20/2010,66.260002,66.980003,66.050003,66.889999,52.42329,5057100,31
9/21/2010,66.910004,66.910004,65.93,66.459999,52.086281,7455500,44
9/22/2010,66.629997,66.900002,66.309998,66.660004,52.243034,5225800,45
9/23/2010,66.190002,66.190002,65.660004,65.790001,51.561207,5877800,30
9/24/2010,66.099998,66.410004,65.830002,66.129997,51.82766,6366300,58
9/27/2010,66.07,66.760002,66.059998,66.370003,52.015747,5230300,35
9/28/2010,66.349998,66.910004,65.809998,66.779999,52.337082,5305300,48
9/29/2010,66.540001,67,66.230003,66.75,52.31356,5553200,31
9/30/2010,66.949997,67.309998,66.25,66.440002,52.070621,7002300,30
10/1/2010,66.760002,67,66.279999,67,52.509491,5397000,37
10/4/2010,66.989998,66.989998,66.519997,66.870003,52.407623,4890200,33
10/5/2010,67.029999,67.82,66.910004,67.760002,53.105141,7246100,46
10/6/2010,67.550003,68.110001,67.400002,68.110001,53.379433,7204100,100
10/7/2010,66.599998,66.699997,65.18,66.099998,51.804157,20029500,26
10/8/2010,66.129997,66.150002,65.269997,65.75,51.529842,8810500,0
10/11/2010,65.739998,65.760002,65.300003,65.519997,51.349594,5283100,44
10/12/2010,65.290001,66.470001,65,66.080002,51.788467,7807800,34
10/13/2010,66.309998,66.800003,66.199997,66.400002,52.039268,5990500,47
10/14/2010,66.449997,66.839996,66.449997,66.639999,52.22736,6162300,43
10/15/2010,66.889999,67,66.459999,66.68,52.258705,6272100,49
